"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Authentication","1","0","Query Parameter Auth","0"
"0","","0","Authentication","1","0","Auth Method Comparison","0"
"0","","0","Todos","4","0","Create Todos","0"
"0","","0","Users","4","0","Update User","0"
"0","","0","Users","4","0","Get User by ID","0"
"0","","0","Users","16","0","Create user","0"
"0","","0","Users","1","0","Get Users","0"
"0","","0","Users","6","0","Update user","0"
"0","","0","Users","5","0","Delete User","0"
"0","","0","Posts","4","0","Create Posts","0"
"0","","0","Authentication","1","0","No Auth","0"
"0","","0","Users","4","0","Get user by ID","0"
"0","","1","Authentication","1","0","Bearer Token Auth","0"
"0","","0","Posts","2","0","Get Posts","0"
"0","","0","Todos","2","0","Get Todos","0"
